source,target,weight
AAS,SBS,0.7819389067833007
AAS,SCR,0.6679238263664288
AAS,SHB,0.697890219593769
AAS,SHS,0.7514827025598552
AAS,SSI,0.7318702228212774
AAS,STB,0.6754347445905583
AAS,TCB,0.6500896978786975
AAS,VIB,0.6647298866765854
AAS,VIX,0.6641793829492764
AAS,VND,0.7536799236262786
AAS,WSS,0.7252502533675378
AAT,ADS,0.6570573557339291
AAT,CTG,0.6541322364864326
AAT,CTS,0.6569504999939777
AAT,DBC,0.7201958894696778
AAT,FCN,0.6602189936906093
AAT,FIT,0.6762238719905217
AAT,HCD,0.657624983621169
AAT,HCM,0.6822358209512863
AAT,HPG,0.6974054781940826
AAT,HSG,0.7134853806917262
AAT,LCG,0.6887288211109004
AAT,LPB,0.6528584486159368
AAT,MBS,0.6554143871069145
AAT,MST,0.6637219315045263
AAT,NHA,0.6645395431781613
AAT,NKG,0.7069522901728521
AAT,SLS,0.6805754116136962
AAT,SSI,0.6823882980657207
AAT,TLH,0.664845498039284
AAT,VC2,0.663480073704204
AAT,VCI,0.6516288533752627
AAT,VIX,0.661553333014518
AAT,VLB,0.6609990151934976
AAV,IDJ,0.6777050692944125
AAV,VCS,0.6618859455528744
ABB,ACB,0.738270810924736
ABB,BAB,0.7681822549061227
ABB,BMI,0.656045086935825
ABB,BVB,0.8130812704819662
ABB,CTG,0.6716521582359787
ABB,HDB,0.6506356682230027
ABB,HPG,0.6764395408881473
ABB,LPB,0.7162066080849497
ABB,MBB,0.767014424985052
ABB,MSB,0.708282407471062
ABB,NAB,0.6865485226606377
ABB,OCB,0.701527966725707
ABB,SBS,0.7019928581025713
ABB,SHB,0.8030187626304918
ABB,TCB,0.7059711350493382
ABB,TPB,0.702566899461308
ABB,VND,0.6751239819132298
ABB,WSS,0.6675018322238585
ABC,FCS,0.6665988839738561
ABC,FIC,0.6582741243315501
ABC,HPD,0.677934676270262
ABC,TDS,0.6983855865877979
ABC,TPS,0.6958559029817935
ABI,CSC,0.65384742519227
ABI,HPG,0.6507020728298815
ABS,ASM,0.6814742989304997
ABS,BAF,0.6743316802995615
ABS,CCP,-0.6637126872632576
ABS,DAH,0.7127561548981979
ABS,DTE,-0.6669844255705994
ABS,DVW,-0.6805984006229804
ABS,FIT,0.7517159690931554
ABS,GH3,-0.6885815864793167
ABS,HD6,0.6813391000912543
ABS,HHV,0.6950342351481026
ABS,KHG,0.7053165459810021
ABS,KMR,0.7913744945571448
ABS,L18,0.6555296908520133
ABS,LCG,0.6548836478974387
ABS,MEF,-0.66904253376732
ABS,NBB,0.6798101820618101
ABS,ODE,0.6814309016588761
ABS,PAT,0.6862363310617086
ABS,PHC,0.6831613625865091
ABS,PLP,0.6735501103733518
ABS,PPI,-0.6897139918169851
ABS,PTC,0.6908927717056921
ABS,PTG,-0.6709062015889429
ABS,SAL,-0.6768377673152269
ABS,SBS,0.6753817579887983
ABS,SBT,0.6716987148997353
ABS,SCR,0.6924643406725304
ABS,SSI,0.6811560799342778
ABS,TCI,0.6574668619639198
ABS,TGG,0.6668295027237248
ABS,TSC,0.7536439681688206
ABS,TTF,0.7069363447166314
ABS,TVH,-0.686561923024131
ABS,VIG,0.6749345989109287
ABT,ADP,0.6539314800048928
ABT,CCM,0.6584287557181366
ABT,LAI,0.7093094372524821
ABT,MND,-0.6575619604368673
ABT,PCE,0.6696695920603072
ABT,SBG,0.6534626180148377
ABW,FIT,0.710832308166271
ABW,GDA,0.7328395474770314
ABW,HQC,0.6572371619032882
ABW,PSI,0.6545537151391716
ABW,S99,0.6646970946260337
ABW,SBG,0.666770312939889
ABW,SKG,0.6515200638752046
ABW,TAL,0.6728242346321504
ABW,TSC,0.7178013598991649
ABW,VIG,0.6708372792832052
ABW,WSS,0.6991594028039795
ACB,ACG,0.6900966664756675
ACB,ANV,0.679221384101327
ACB,BAB,0.7013940933849762
ACB,BID,0.7889975526269071
ACB,BMI,0.7629343836607905
ACB,BSR,0.7202069985509104
ACB,BVB,0.7454305412403104
ACB,BVS,0.657807242234574
ACB,BWE,0.6729919361586991
ACB,CTG,0.857393711295205
